STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:19180220;1.2;0.8;0.0;0.0;0.0;0.0;Dommerskanaal;De Krim;240860.5;519265.0
NL:S:19180260;0.4;0.4;0.0;0.0;0.0;0.0;Nieuwlandseweg;De Krim;239459.0;519064.5
NL:S:19180280;5.1;4.1;0.0;0.0;0.0;0.0;N.H. Kerk;De Krim;238684.0;518954.0
NL:S:19180300;3.7;2.9;0.0;0.0;0.0;0.0;Horstra's Wijk;De Krim;237957.5;518850.0
NL:S:19180332;0.1;0.2;0.0;0.0;0.0;0.0;Horstra's Wijk/Marsstraat;De Krim;238194.5;518464.5
NL:S:19180350;0.8;0.3;0.0;0.0;0.0;0.0;Marsstraat;De Krim;238386.0;518634.0
NL:S:19180450;0.0;0.1;0.0;0.0;0.0;0.0;Slagenweg/Lutteresweg;Ane;238950.0;517375.0
NL:S:19180500;0.1;0.1;0.0;0.0;0.0;0.0;Hoofdweg;De Krim;238268.0;518889.0
NL:S:19280010;0.3;0.3;0.0;0.0;0.0;0.0;Molenweg;De Krim;237232.5;518522.5
NL:S:19280030;0.2;0.1;0.0;0.0;0.0;0.0;Coevorderweg 171;De Krim;236480.0;517855.5
NL:S:19280050;0.2;0.2;0.0;0.0;0.0;0.0;Drukkerij Seinen;De Krim;236080.5;517505.0
NL:S:19280070;0.0;0.0;0.0;0.0;0.0;0.0;Coevorderweg 105;De Krim;235544.5;517033.0
NL:S:19380010;12.0;12.1;0.7;1.7;1.2;1.0;Schuineslootweg;Slagharen;233021.5;517380.0
NL:S:19380030;0.3;0.8;0.1;0.3;0.0;0.0;Herenstraat 108;Slagharen;233320.0;517028.0
NL:S:19380050;3.0;5.1;0.3;0.6;0.3;0.4;Witmanweg;Slagharen;233714.0;516571.5
NL:S:19380070;29.4;23.1;3.5;2.6;2.3;1.6;Vergouwlaan;Slagharen;233903.5;516350.5
NL:S:19380151;101.4;104.2;15.1;15.7;10.6;9.9;Centrum;Lutten;235217.5;514601.5
NL:S:19380191;6.8;6.5;1.6;2.2;0.9;1.0;Viaduct;Lutten;234397.0;514184.5
NL:S:19380280;0.3;0.5;0.0;0.0;0.0;0.0;Coevorderweg 89;Slagharen;234935.0;516513.0
NL:S:19380301;31.0;33.6;7.0;8.3;4.1;4.1;Centrum;Slagharen;234237.0;516008.5
