STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:40622123;De Valouwe;Ede;0,2;0,4;0,3;1,2;0,2;0,4
NL:S:40631001;School met de Bijbel;De Valk;3,8000000000000003;2,4;0,0;0,0;0,0;0,0
NL:S:40631003;Geref. Gemeente;De Valk;1,2;0,6;0,0;0,0;0,0;0,0
NL:S:40631009;Cooperatie;De Valk;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:40643008;Hoeve Oud Milligen;Nieuw Milligen;2,4;4,2;1,5;1,5;1,4;1,1
NL:S:40649001;Busstation;Wittenberg;135,8;132,4;31,599999999999998;31,5;22,200000000000003;30,0
NL:S:40649011;Tolnegenweg;Wittenberg;2,1;2,1;1,9;1,8;1,8;1,1
NL:S:40650001;Wieselseweg;Wenum;11,0;9,4;3,6;4,1;3,0;2,7
NL:S:40650003;Papegaaiweg;Wenum;13,0;12,1;5,0;7,0;3,1;3,5
NL:S:40650006;De Haere;Wenum;2,6;3,2;1,8;2,2;1,2;1,0
NL:S:40664001;Oosterbrinkweg;Kootwijkerbroek;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:40664003;Garderbroekerweg;Kootwijkerbroek;4,5;3,9;0,0;0,0;0,0;0,0
NL:S:40664007;Kosterijweg;Kootwijkerbroek;7,9;6,6;0,0;0,0;0,0;0,0
NL:S:40664009;Essenerweg;Kootwijkerbroek;8,6;7,6;0,0;0,0;0,0;0,0
NL:S:40664011;Nachtegaalweg;Kootwijkerbroek;2,7;3,3;0,0;0,0;0,0;0,0
NL:S:40664013;Wencopperweg;Kootwijkerbroek;1,9000000000000001;2,0;0,0;0,0;0,0;0,0
NL:S:40664015;Gereformeerde Kerk;Kootwijkerbroek;1,4;1,3;0,0;0,0;0,0;0,0
NL:S:40665002;Esvelderweg;Barneveld;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:40679006;Echoput;Hoog Soeren;3,8;4,3;3,9;5,1;2,1;1,7
NL:S:40680001;Huis Voorstonden;Voorstonden;0,0;0,0;0,0;0,1;0,0;0,0
NL:S:40680003;Halte de Molen;Voorstonden;0,1;0,1;0,1;0,0;0,0;0,0
NL:S:40682001;School met de Bijbel;Tonden;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40682003;ABK huis;Hall;0,1;0,5;0,1;0,4;0,0;0,0
NL:S:40682005;Hogestraat;Hall;0,2;0,1;0,2;0,1;0,0;0,0
NL:S:40682007;School;Hall;0,8;0,4;0,2;0,3;0,0;0,0
NL:S:40685001;Buurtweg;Oeken;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40712009;Pascalstraat;Ede;13,6;15,6;2,3;2,2;1,6;2,4
NL:S:40712011;Lumierestraat;Ede;13,8;14,0;1,5;1,2;0,7;1,5
NL:S:40712013;Niels Bohrstraat;Ede;13,0;15,6;0,5;0,9;0,9;0,6
NL:S:40712019;Pakhuisweg;Ede;1,1;1,4;0,4;0,4;0,3;0,2
NL:S:40712021;Kievitsmeent;Ede;3,7;5,2;0,4;1,3;0,6;1,0
NL:S:40712137;Einsteinstraat;Ede;15,7;17,8;8,3;10,4;3,2;4,0
NL:S:40712159;Amperestraat;Ede;20,2;19,0;1,1;0,4;0,7;0,5
NL:S:40715013;Buurtlaan-Oost;Veenendaal;2,3;3,3;0,1;0,3;0,1;0,4
NL:S:40726001;Hooiweg;Garderen;4,0;5,6;3,6;4,0;1,9;1,9
NL:S:40726003;Bakkerstraat;Garderen;34,8;34,4;7,9;9,6;5,1;5,4
NL:S:40726005;West-end;Garderen;2,1;2,5;1,0;1,6;1,0;0,8
NL:S:40726007;Heideheuvel;Garderen;4,8;5,7;2,8;2,8;2,1;1,4
NL:S:40726009;De Hertshoorn;Garderen;2,6;2,5;2,1;2,6;1,8;1,3
NL:S:40726011;Veluw Hul;Garderen;0,5;0,7;0,6;1,0;0,6;0,6
NL:S:40726013;Kastelenhof;Garderen;0,1;0,3;0,1;0,1;0,0;0,0
NL:S:40726015;Houtdorp;Garderen;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40746011;Bosweg;Voorthuizen;3,5;3,9;2,6;3,2;2,5;1,7
NL:S:40746013;Hunnenweg;Voorthuizen;2,5;2,8;0,3;1,0;0,4;0,5
NL:S:40746015;De Zanderij;Voorthuizen;8,4;8,8;4,9;5,4;4,6;3,2
NL:S:40746017;De IJsvogel;Voorthuizen;5,3;5,6;4,5;4,7;3,2;1,9
NL:S:40750001;Station;Lunteren;8,0;2,2;1,1;0,7;0,0;0,0
NL:S:40750003;Roskammersteeg;Lunteren;0,3;0,2;0,0;0,2;0,0;0,0
NL:S:40750005;Hertenlaan;Lunteren;0,2;0,2;0,0;0,2;0,0;0,0
NL:S:40750007;Everlaan;Lunteren;0,4;0,1;0,0;0,0;0,0;0,0
NL:S:40750009;Viaduct;Lunteren;0,2;0,4;0,1;0,2;0,0;0,0
NL:S:40750013;De Molen;Lunteren;0,2;0,1;0,2;0,1;0,0;0,0
NL:S:40750015;De Wormshoef;Lunteren;4,6;2,6;0,0;0,0;0,0;0,0
NL:S:40751003;Rehoboth;Meulunteren;0,8;0,5;0,0;0,2;0,0;0,0
NL:S:40751005;Bijweg;Meulunteren;0,2;0,1;0,1;0,1;0,0;0,0
NL:S:40751011;Hessenweg;Meulunteren;0,1;0,30000000000000004;0,1;0,0;0,0;0,0
NL:S:40755075;Schaffelaartheater;Barneveld;0,4;1,1;0,0;0,1;0,0;0,0
NL:S:40760005;Valkseweg;Barneveld;5,0;5,1;1,3;1,7;0,8;1,0
NL:S:40761001;Van Lodenstein College;Barneveld;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:40761003;Lange Voren;Barneveld;21,4;19,4;1,6;1,2;0,9;0,6
NL:S:40765005;Norschoterweg;Barneveld;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:40765007;Praktijkschool Barneveld;Barneveld;11,5;22,1;0,0;0,0;0,0;0,0
NL:S:40765009;Julianaplein;Barneveld;2,3;6,6000000000000005;0,3;0,9;0,1;0,1
NL:S:40765011;Van Dompselaerstraat;Barneveld;4,8;6,3999999999999995;0,6;1,1;0,5;0,5
NL:S:40765013;Station Barneveld Centrum;Barneveld;220,7;174,0;64,5;46,8;33,5;23,4
NL:S:40765015;Vliegersvelderlaan;Barneveld;6,5;7,6;1,2;1,2;0,9;0,7
NL:S:40765017;Van Wijnbergenlaan;Barneveld;2,1;3,0;0,5;0,5;0,3;0,5
NL:S:40765023;Torenplein;Barneveld;0,3;0,3;0,1;0,1;0,0;0,0
NL:S:40765029;Narcissenstraat;Barneveld;2,2;1,7000000000000002;0,2;0,1;0,0;0,0
NL:S:40765031;Begraafplaats De Plantage;Barneveld;0,6000000000000001;0,6;0,0;0,0;0,0;0,0
NL:S:40765041;Nijkerkerweg;Barneveld;0,3;0,1;0,0;0,0;0,0;0,0
NL:S:40765045;Evenementenhal;Barneveld;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40765047;Troelstralaan;Barneveld;0,4;0,30000000000000004;0,1;0,1;0,3;0,0
NL:S:40765061;Churchillstraat;Barneveld;0,3;0,5;0,0;0,2;0,0;0,0
NL:S:40765068;Nieuwe Markt;Barneveld;0,4;0,5;0,1;0,1;0,0;0,0
NL:S:40765073;Vellerselaan;Barneveld;0,9;1,3;0,0;0,0;0,0;0,0
NL:S:40779002;Het Aardhuis;Hoog Soeren;0,8;2,6;0,8;1,2;0,4;0,6
NL:S:40779003;Oranjeoord;Hoog Soeren;1,0;1,1;0,5;0,9;0,4;0,2
NL:S:40783001;Kruispunt;Nieuw Millingen;12,7;14,7;12,5;14,8;7,9;8,4
NL:S:40783003;Kon. Luchtmacht;Nieuw Milligen;1,8;2,2;0,1;0,3;0,6;0,3
NL:S:40783005;Ouwendorperweg;Nieuw Milligen;1,2;1,4;0,4;0,4;0,4;0,4
NL:S:40783010;Bos en Heide;Nieuw Milligen;2,0;1,5;1,2;0,8;0,4;0,3
NL:S:40783011;Meerveld;Nieuw Milligen;4,9;6,5;3,8;5,3;0,0;0,0
NL:S:40800321;Korte Dreef;Veenendaal;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40800325;Stationsstraat;Veenendaal;1,2;1,4;0,2;0,5;0,0;0,0
NL:S:40800370;Griftweg;De Klomp;0,4;0,7;0,1;0,1;0,0;0,0
NL:S:40800390;De Grote Pekken;Veenendaal;20,9;15,7;2,5;2,7;3,0;2,8
NL:S:40800410;Rembrandtpark;Veenendaal;12,6;9,2;2,3;1,8;0,0;0,0
NL:S:40800430;Rossiniweg;Veenendaal;3,6;3,5;0,6;0,5;0,0;0,0
NL:S:40800440;Jan Vermeerstraat;Veenendaal;3,6;2,8;0,4;0,3;0,0;0,0
NL:S:40800470;Station West;Veenendaal;15,9;11,5;3,4;2,5;0,0;0,0
