STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:47642072;Winneweer;Winneweer;6,0;7,1;3,5;3,6;1,9;1,7
NL:S:47642090;Dapperstraat;Deventer;12,2;14,5;6,1;7,0;2,7;4,1
NL:S:47642110;Van Marckelplein;Deventer;9,5;8,8;5,1;4,8;2,9;4,2
NL:S:47642150;Wkc Keizerslanden;Deventer;44,0;45,6;27,3;31,9;16,2;18,0
NL:S:47642170;Balderikstraat;Deventer;23,2;18,8;13,2;11,2;7,5;6,9
NL:S:47642190;Ludgerstraat;Deventer;14,1;14,2;7,0;6,5;4,1;4,0
NL:S:47642210;Beeckestein;Deventer;3,3;5,0;1,2;2,4;1,0;1,9
NL:S:47642230;Wkc Borgele;Deventer;25,0;23,9;17,3;15,5;8,3;9,1
NL:S:47642250;Beugelskamp;Deventer;5,0;6,2;2,4;3,4;3,2;4,7
NL:S:47642270;Het Vlier;Deventer;11,1;10,0;8,3;7,8;6,7;5,9
NL:S:47642290;Thomas Wildey;Deventer;16,0;16,2;8,3;7,4;6,3;6,1
NL:S:47642320;Platvoet;Deventer;27,7;29,1;16,7;18,7;11,0;12,0
NL:S:47643050;Nijverheidstraat;Deventer;1,2;2,6;0,5;0,8;0,5;0,5
NL:S:47643070;Rijsterborgherweg;Deventer;7,7;8,8;3,8;5,8;2,3;3,2
NL:S:47643110;Radstakeweg;Deventer;6,1;6,3;3,2;3,2;1,9;3,1
NL:S:47643150;Erasmusstraat;Deventer;3,1;15,9;2,2;3,2;1,3;1,6
NL:S:47643170;Zamenhofplein;Deventer;29,5;19,4;14,0;12,8;8,3;8,3
NL:S:47643190;Vermeerstraat;Deventer;12,3;12,0;7,3;7,2;4,5;4,5
NL:S:47643210;Moreelsestraat;Deventer;9,5;8,3;7,1;6,6;4,5;4,1
