QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:Q:43215000;Station Hengelo Oost;Hengelo;6,1;4,5;1,4;2,3;0,9;1,1
NL:Q:43215010;Klein Driene;Hengelo;22,1;5,3;9,9;2,0;6,9;0,6
NL:Q:43215020;Klein Driene;Hengelo;5,1;23,1;2,2;11,6;0,7;8,3
NL:Q:43215030;De Noork;Hengelo;28,1;5,0;15,0;2,3;9,1;0,8
NL:Q:43215040;De Noork;Hengelo;4,3;28,5;1,6;15,8;0,8;14,0
NL:Q:43218090;Sabastraat;Hengelo;6,4;3,0;1,9;0,8;0,7;0,3
NL:Q:43218110;Balistraat;Hengelo;3,0;2,3;0,8;1,1;0,3;0,4
NL:Q:43218130;Mitchamplein;Hengelo;0,3;0,4;0,1;0,2;0,1;0,2
NL:Q:43220011;Molkenboer;Oldenzaal;5,3;4,2;0,4;2,6;0,0;0,0
NL:Q:43220012;Molkenboer;Oldenzaal;3,6;7,2;2,1;1,2;0,0;0,0
NL:Q:43220100;Kalheupinklaan;Oldenzaal;0,5;0,0;0,0;0,1;0,0;0,0
NL:Q:43220110;Kalheupinklaan;Oldenzaal;0,0;0,3;0,0;0,0;0,0;0,0
NL:Q:43220150;Johanna van Burenlaan;Oldenzaal;9,0;8,7;2,2;2,2;0,0;0,0
NL:Q:43220170;Wkc De Thij;Oldenzaal;30,1;31,2;7,3;9,0;0,0;0,0
NL:Q:43220190;Cato Elderinklaan;Oldenzaal;18,7;17,9;2,2;2,3;0,0;0,0
NL:Q:43220260;Saasvelderlaan;Oldenzaal;8,5;7,6;1,4;1,7;0,0;0,0
NL:Q:43220270;Oude Postweg;Oldenzaal;3,5;1,2;0,3;0,6;0,2;1,0
NL:Q:43220280;Oude Postweg;Oldenzaal;1,1;3,9;0,5;0,7;0,6;0,5
NL:Q:43220290;Nardusboer;Oldenzaal;3,2;3,3;1,3;1,1;0,0;0,0
NL:Q:43220400;Griekenlandlaan;Oldenzaal;2,4;0,4;0,2;0,1;0,0;0,0
NL:Q:43220410;Ziekenhuis;Oldenzaal;18,1;8,7;3,3;3,5;1,8;1,8
NL:Q:43220411;Ziekenhuis;Oldenzaal;6,7;22,8;2,1;4,5;0,8;2,2
NL:Q:43220430;Hofmeijerstraat;Oldenzaal;3,8;13,9;1,9;4,6;1,3;2,3
NL:Q:43220440;Hofmeijerstraat;Oldenzaal;6,9;5,1;4,3;3,3;1,6;1,5
NL:Q:43220450;Vos de Waelstraat;Oldenzaal;47,9;22,0;13,4;8,0;5,1;3,9
NL:Q:43220460;Vos de Waelstraat;Oldenzaal;27,2;47,9;7,6;16,7;4,0;4,1
NL:Q:43220470;Richter Bosstraat;Oldenzaal;6,0;9,9;3,4;5,1;2,9;3,5
NL:Q:43220490;Thijsniederweg;Oldenzaal;13,4;7,4;2,6;1,2;0,0;0,0
NL:Q:43220500;Koksweg;Oldenzaal;0,8;0,1;0,9;0,2;0,4;0,1
NL:Q:43220511;Tijgaardenstraat;Oldenzaal;1,9;8,4;1,3;2,9;0,0;0,0
NL:Q:43220521;Tijgaardenstraat;Oldenzaal;7,6;1,0;1,7;0,5;0,0;0,0
NL:Q:43220531;Viaduct Graven Es;Oldenzaal;0,9;7,7;0,4;1,1;0,0;0,0
NL:Q:43220541;Viaduct Graven Es;Oldenzaal;8,4;0,5;0,8;0,2;0,0;0,0
NL:Q:43220551;Engelbertinklaan;Oldenzaal;0,1;8,8;0,1;1,8;0,0;0,0
NL:Q:43220561;Engelbertinklaan;Oldenzaal;9,0;0,1;1,7;0,1;0,0;0,0
NL:Q:43220570;Hunenveldweg;Oldenzaal;0,6;32,3;0,0;3,8;0,0;0,0
NL:Q:43220580;Hunenveldweg;Oldenzaal;29,6;0,3;2,6;0,0;0,0;0,0
NL:Q:43220590;Griekenlandlaan;Oldenzaal;0,9;3,8;0,0;0,8;0,0;0,0
NL:Q:43220690;Wkc De Essen;Oldenzaal;4,2;2,3;0,9;0,6;0,0;0,0
NL:Q:43220700;Wkc De Essen;Oldenzaal;2,5;4,0;0,4;0,8;0,0;0,0
NL:Q:43220710;Nachtschade;Oldenzaal;1,6;1,6;0,2;0,3;0,0;0,0
NL:Q:43220720;Nachtschade;Oldenzaal;2,4;1,7;0,3;0,4;0,0;0,0
NL:Q:43220730;Zevenblad;Oldenzaal;2,8;2,0;1,1;0,4;0,0;0,0
NL:Q:43220740;Zevenblad;Oldenzaal;3,3;2,9;1,0;1,8;0,0;0,0
NL:Q:43220760;Bentheimergraven;Oldenzaal;1,3;1,4;0,3;0,4;0,0;0,0
NL:Q:43220761;Bentheimergraven;Oldenzaal;1,4;1,3;0,2;0,1;0,0;0,0
NL:Q:43220790;Thijlaan;Oldenzaal;5,6;5,5;1,0;0,8;0,0;0,0
NL:Q:43220841;Station;Oldenzaal;131,3;136,1;27,7;22,5;13,8;15,6
NL:Q:43220842;Station;Oldenzaal;117,7;125,8;26,9;61,2;13,8;32,5
NL:Q:43220843;Station;Oldenzaal;25,9;30,6;4,8;6,0;0,0;0,0
NL:Q:43220851;Hyacintstraat;Oldenzaal;1,1;5,2;0,7;1,2;0,0;0,0
NL:Q:43220861;Hyacintstraat;Oldenzaal;5,3;2,5;0,5;2,5;0,0;0,0
NL:Q:43220900;Station;Oldenzaal;233,2;206,2;64,7;52,1;31,9;15,9
NL:Q:43220910;Station;Oldenzaal;105,6;122,6;30,5;0,8;0,0;0,0
NL:Q:43221040;Loweg;Oldenzaal;0,2;0,4;0,1;0,2;0,1;0,5
NL:Q:43221210;Wkc Zuid Berghuizen;Oldenzaal;36,5;7,1;18,8;2,2;8,2;1,0
NL:Q:43221220;Wkc Zuid Berghuizen;Oldenzaal;8,8;33,7;3,3;14,8;1,1;6,3
NL:Q:43221250;Schapendijk;Oldenzaal;5,7;2,8;1,9;0,5;1,2;0,1
NL:Q:43221260;Schapendijk;Oldenzaal;2,1;9,4;0,5;3,6;0,1;2,1
NL:Q:43221270;Lossersestraat;Oldenzaal;0,7;0,7;0,1;0,1;0,0;0,0
NL:Q:43221280;Lossersestraat;Oldenzaal;0,7;0,7;0,1;0,1;0,0;0,0
NL:Q:43221290;Postweg;Losser;0,3;0,4;0,0;0,1;0,0;0,0
NL:Q:43221300;Postweg;Losser;0,1;0,3;0,1;0,2;0,0;0,0
NL:Q:43221450;J.H. Nieuwenhuisstraat;Oldenzaal;19,5;3,1;4,2;0,5;1,8;0,4
NL:Q:43221460;J.H. Nieuwenhuisstraat;Oldenzaal;2,5;20,5;0,5;4,2;0,2;2,7
NL:Q:43221470;Elsmors;Oldenzaal;13,1;2,4;2,6;0,5;1,1;0,2
NL:Q:43221480;Elsmors;Oldenzaal;1,7;12,5;0,3;3,2;0,1;1,4
NL:Q:43221500;Hanzepoort;Oldenzaal;6,4;18,9;1,6;2,7;1,2;1,2
NL:Q:43221510;Zandhorstlaan;Oldenzaal;8,6;7,4;3,4;2,5;0,0;0,0
NL:Q:43221530;Hunenveldlaan;Oldenzaal;15,0;6,1;3,7;1,2;0,0;0,0
NL:Q:43222010;Ganzenmarkt;Oldenzaal;0,2;0,7;0,1;0,1;0,0;0,0
NL:Q:43222020;Ganzenmarkt;Oldenzaal;0,1;0,3;0,1;0,4;0,0;0,0
NL:Q:43222030;De Molenkamp;Oldenzaal;0,2;1,6;0,1;0,1;0,0;0,0
NL:Q:43222040;De Molenkamp;Oldenzaal;0,6;0,3;0,0;0,0;0,0;0,0
NL:Q:43222060;De Grote Zwaan;De Lutte;0,0;0,9;0,1;0,5;0,0;0,0
NL:Q:43222650;Oliemolenstraat;Oldenzaal;13,4;11,5;4,8;5,1;3,1;3,3
NL:Q:43222660;Oliemolenstraat;Oldenzaal;6,9;3,9;1,0;0,6;0,5;0,5
NL:Q:43230010;Bentelerweg;Stepelo;0,0;0,4;0,0;0,2;0,0;0,1
NL:Q:43230030;Beckummerweg;Stepelo;0,1;2,1;0,1;0,3;0,1;0,2
NL:Q:43230040;Beckummerweg;Stepelo;2,1;0,1;0,4;0,2;0,1;0,1
NL:Q:43230050;Deelweg;Stepelo;0,3;1,1;0,0;0,5;0,1;0,1
NL:Q:43230060;Deelweg;Stepelo;0,9;0,2;0,6;0,0;0,1;0,1
NL:Q:43230070;Hulstweg;Stepelo;0,3;1,3;0,1;0,4;0,0;0,2
