CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:51670760;Weidsteeg/Zandstraat;Culemborg;11,4;3,4;3,1;0,3;2,3;0,2
23;NL:Q:51670780;Kon. Wilhelmina College;Culemborg;13,1;0,2;0,0;0,0;0,0;0,0
23;NL:Q:51670790;Kon. Wilhelmina College;Culemborg;0,0;10,5;0,0;0,0;0,0;0,0
23;NL:Q:51670820;Stationssingel;Culemborg;0,9;1,7;0,5;0,3;0,2;0,1
23;NL:Q:51670830;Stationssingel;Culemborg;0,7;1,4;0,2;0,7;0,0;0,4
23;NL:Q:51671280;Fie Sijbrantstraat;Culemborg;0,9;0,7;0,0;0,0;0,0;0,0
23;NL:Q:51671290;Fie Sijbrantstraat;Culemborg;0,2;0,6;0,0;0,0;0,0;0,0
23;NL:Q:51671300;Wijsenbeekweg;Culemborg;1,1;1,2;0,0;0,0;0,0;0,0
23;NL:Q:51671310;Wijsenbeekweg;Culemborg;0,6;1,0;0,0;0,0;0,0;0,0
23;NL:Q:51671320;Belle van Zuylenlaan;Culemborg;1,5;3,2;0,0;0,0;0,0;0,0
23;NL:Q:51671330;Belle van Zuylenlaan;Culemborg;3,6;1,7;0,0;0,0;0,0;0,0
23;NL:Q:51671340;Winkelcentrum Parijsch;Culemborg;3,1;4,0;0,0;0,0;0,0;0,0
23;NL:Q:51671350;Winkelcentrum Parijsch;Culemborg;5,3;2,7;0,0;0,0;0,0;0,0
23;NL:Q:51750040;Walstraat;Gorinchem;11,5;2,4;9,7;1,8;4,9;0,8
23;NL:Q:51750070;Station;Gorinchem;1,6;44,4;0,6;8,2;0,0;5,5
23;NL:Q:51750071;Station;Gorinchem;2,5;21,8;1,6;8,9;1,3;8,9
23;NL:Q:51750077;Station;Gorinchem;72,2;9,7;20,9;1,2;17,0;0,8
23;NL:Q:51750110;Walstraat;Gorinchem;1,7;11,8;1,0;12,5;0,6;4,9
23;NL:Q:51750120;Fortes Lyceum;Gorinchem;8,0;5,6;0,7;2,0;0,6;1,5
23;NL:Q:51750150;Anna Blamanstraat;Gorinchem;6,2;5,3;3,5;1,7;2,9;1,1
23;NL:Q:51750160;Anna Blamanstraat;Gorinchem;3,6;1,3;1,2;0,5;0,8;0,2
