STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:41330170;Beumerskamp;Doesburg;78,5;65,30000000000001;43,2;29,6;24,6;19,6
NL:S:41350090;Oranjelaan;Zevenaar;2,7;3,9;1,6;3,3;0,0;0,0
NL:S:41350112;Station Zevenaar;Zevenaar;155,6;166,0;34,5;38,0;0,0;0,0
NL:S:41350130;Oude Doesburgseweg;Zevenaar;23,5;23,3;16,2;15,6;0,0;0,0
NL:S:41350150;Sportcentrum;Zevenaar;18,1;18,6;7,8;7,3;0,0;0,0
NL:S:41350170;Zwembad;Zevenaar;8,4;7,9;2,8;4,7;0,0;0,0
NL:S:41350190;Ziekenhuis;Zevenaar;35,2;35,4;13,9;15,4;0,0;0,0
NL:S:41350210;Rosorum;Zevenaar;17,2;15,0;9,2;8,5;0,0;0,0
NL:S:41350250;Schellekrans;Zevenaar;5,2;5,9;2,5;3,1;0,0;0,0
NL:S:41350510;Ringbaan Oost;Zevenaar;0,3;0,2;0,0;0,0;0,0;0,0
NL:S:41350570;De Bem;Zevenaar;0,1;1,3;0,0;0,0;0,0;0,0
NL:S:41350610;Hengelder;Zevenaar;0,0;0,8;0,0;0,0;0,0;0,0
NL:S:41350630;Tol;Zevenaar;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:41350670;7Poort;Zevenaar;1,4;0,9;0,0;0,0;0,0;0,0
NL:S:41351010;Buitenmolen;Zevenaar;0,3;0,9;0,0;0,0;0,0;0,0
NL:S:41351030;Maatjes;Zevenaar;0,6;0,4;0,0;0,0;0,0;0,0
NL:S:41351050;Mozartlaan;Zevenaar;0,6;0,3;0,0;0,0;0,0;0,0
NL:S:41352100;Didamseweg;Zevenaar;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:41353130;Subenhara;Zevenaar;9,3;9,9;7,4;7,6;0,0;0,0
NL:S:41360030;Olyhorststraat;Gendt;4,7;4,1;2,6;2,5;1,7;1,5
NL:S:41360050;Kapelstraat;Gendt;14,5;10,5;6,4;5,5;4,0;3,3
NL:S:41360070;Julianaplein;Gendt;63,6;58,3;34,3;29,8;20,1;14,9
NL:S:41360090;Markt;Gendt;7,5;10,0;4,3;5,9;2,9;2,9
NL:S:41360110;Baron van Gendtlaan;Gendt;21,3;16,9;12,4;9,5;7,8;5,8
NL:S:41360130;Kommerdijk;Gendt;3,2;7,8;1,6;5,3;0,9;4,0
NL:S:41360150;Kruisstraat;Gendt;7,9;7,6;4,1;3,7;2,8;2,6
NL:S:41360170;Industrieterrein;Gendt;8,0;8,2;3,3;2,9;2,1;1,6
NL:S:41360190;Groenestraat;Haalderen;3,6;3,5;1,7;1,5;1,2;1,1
NL:S:41360230;Kerk;Haalderen;20,5;18,3;12,0;9,6;8,1;7,5
NL:S:41360250;Lage Zandsestraat;Haalderen;8,9;8,4;5,3;5,9;3,0;3,0
NL:S:41360510;Dwarsakker;Gendt;41,3;43,2;22,7;22,7;12,4;12,8
NL:S:41400110;Kasteel Hackfort;Vorden;0,7;0,5;0,0;0,0;0,0;0,0
NL:S:41410030;Gemeentehuis;Hengelo;41,7;40,6;15,5;11,2;10,7;8,0
NL:S:41410150;Van Neck;Hengelo;5,4;5,1;1,4;1,6;1,0;1,1
NL:S:41410190;Vordenseweg;Hengelo;26,7;24,7;9,5;7,5;6,2;4,7
NL:S:41410210;Banninkstraat;Hengelo;41,2;39,3;19,0;13,7;14,0;10,4
NL:S:41420010;NH Kerk;Drempt;2,3;3,2;1,4;1,7;0,5;1,2999999999999998
NL:S:41420050;Gouden Regenstraat;Doesburg;26,4;19,4;0,0;0,0;0,0;0,0
NL:S:41420070;Hoek Looiersweg;Doesburg;12,5;6,5;0,0;0,0;0,0;0,0
NL:S:41420090;Koppelweg;Doesburg;0,9;2,3;0,0;0,0;0,0;0,0
NL:S:41420110;Beinum;Doesburg;18,7;14,0;7,0;4,2;4,1;2,7
NL:S:41420130;Potsmaat;Doesburg;20,1;18,8;7,6;7,0;4,2;4,6
NL:S:41420150;tunnel Angerlo;Doesburg;37,9;32,6;13,1;10,3;7,8;7,0
NL:S:41420210;Kraakselaan;Doesburg;176,1;128,5;63,5;50,0;37,8;28,1
NL:S:41420230;Meipoort;Doesburg;92,7;87,5;52,4;45,6;29,4;28,3
NL:S:41420250;Karel Doormansingel;Doesburg;46,800000000000004;57,0;17,0;18,8;11,4;14,2
