STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:43002530;Bankastraat;Enschede;14,3;18,4;5,8;7,2;2,8;5,5
NL:S:43002570;Madioenstraat;Enschede;0,6;0,5;0,2;0,2;0,0;0,0
NL:S:43002600;Aquadrome;Enschede;61,4;68,2;11,8;12,2;6,1;6,6
NL:S:43002610;Brinkstraat;Enschede;0,7;0,7;0,6;0,7;0,0;0,0
NL:S:43002630;J.P. Coenstraat;Enschede;0,7;0,7;0,3;0,2;0,0;0,0
NL:S:43002650;Padangstraat;Enschede;0,8;0,9;0,6;0,5;0,0;0,0
NL:S:43002790;Rembrandtlaan;Enschede;18,5;32,2;10,7;18,5;5,4;16,1
NL:S:43002820;De Hatteler;Enschede;16,0;10,6;6,5;6,2;4,3;3,7
NL:S:43002840;Albert Cuypstraat;Enschede;0,4;1,5;0,1;0,3;0,2;0,8
NL:S:43002860;Zuivelstraat;Enschede;0,7;2,0;0,2;0,7;0,2;1,0
NL:S:43003070;Pathmossingel;Enschede;0,0;0,8;0,0;0,1;0,0;0,6
NL:S:43003090;Poolmansweg;Enschede;0,2;0,7;0,0;0,1;0,1;0,2
NL:S:43003110;Lindestraat;Enschede;0,1;0,4;0,0;0,0;0,0;0,2
NL:S:43003200;C. Troostlaan;Enschede;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:43003220;Henriette Ronnerlaan;Enschede;0,2;12,3;0,1;5,3;0,0;3,4
NL:S:43003250;Fre Cohenlaan;Enschede;10,2;8,1;3,7;3,8;2,2;2,5
NL:S:43003270;Ferdinand Bolstraat;Enschede;14,3;11,0;5,0;5,0;2,1;3,1
NL:S:43003440;Hanenberglanden;Enschede;36,4;30,9;18,7;13,0;10,2;10,8
NL:S:43003460;Hesselinklanden;Enschede;25,6;17,4;12,4;7,5;5,6;4,5
NL:S:43003480;Auskamplanden;Enschede;19,1;16,2;8,2;7,6;4,9;4,8
NL:S:43003500;Hasmanlanden;Enschede;29,7;32,1;13,0;14,2;7,2;9,1
NL:S:43003530;Tiemeister;Enschede;36,2;36,5;2,8;3,3;1,3;1,7
NL:S:43003570;Schabbinklanden;Enschede;14,9;18,6;6,1;7,3;3,3;3,7
NL:S:43003600;Bekmanlanden;Enschede;14,4;7,9;4,7;2,8;2,6;1,5
NL:S:43003620;Vrielinklanden;Enschede;21,2;16,8;8,3;5,9;3,2;2,6
NL:S:43003640;Verwooldslanden;Enschede;19,3;0,6;8,6;0,4;4,8;0,1
NL:S:43003680;Wkc De Posten;Enschede;0,0;0,1;0,0;0,1;0,0;0,0
NL:S:43003700;Verzorgingshuis De Posten;Enschede;0,4;0,4;0,5;0,6;0,0;0,0
NL:S:43003870;Buurserstraat;Enschede;35,1;30,1;12,5;10,1;7,1;6,8
NL:S:43003900;Zenderenbrink;Enschede;0,1;0,5;0,0;0,6;0,0;0,0
NL:S:43004010;Borstelweg;Enschede;33,5;24,7;11,8;9,3;7,3;6,4
NL:S:43004050;Lonnekerbrugstraat;Enschede;1,7;2,3;0,0;0,0;0,0;0,0
NL:S:43004090;Orion;Enschede;0,2;1,0;0,0;0,0;0,0;0,0
NL:S:43004170;Twekkeler Es;Enschede;3,5;4,2;0,0;0,0;0,0;0,0
NL:S:43004310;De Hoeveler;Enschede;4,7;4,4;0,0;0,0;0,0;0,0
NL:S:43004340;Scansped;Enschede;0,7;0,9;0,0;0,0;0,0;0,0
NL:S:43004370;Dr. J. Wagenaarstraat;Enschede;5,8;0,0;1,5;0,0;0,0;0,1
NL:S:43004410;Transportcentrum;Enschede;8,3;11,0;0,0;0,0;0,0;0,0
NL:S:43004450;Kanaalstraat;Enschede;0,6;0,6;0,0;0,0;0,0;0,0
NL:S:43004550;Olympialaan;Enschede;0,9;0,6;0,3;0,1;0,0;0,0
NL:S:43004590;Hendrik Smeltweg;Enschede;0,7;2,1;0,2;0,9;0,0;0,0
NL:S:43005030;C.F. Klaarstraat;Enschede;58,1;54,6;28,3;26,9;13,6;18,2
NL:S:43005190;Wooldrik;Enschede;62,2;63,2;21,6;23,0;11,9;16,7
NL:S:43005440;Schuttersveld;Enschede;22,9;29,5;8,6;12,2;3,4;6,4
NL:S:43005530;G.J. van Heekpark;Enschede;52,3;51,1;16,0;16,0;8,9;12,6
NL:S:43005570;Ledeboerpark;Enschede;39,5;38,4;15,3;12,9;9,1;18,1
NL:S:43005590;Uranusstraat;Enschede;42,5;44,0;12,5;12,8;6,8;16,0
NL:S:43005630;Westerbegraafplaats/UT;Enschede;123,4;132,9;6,9;6,8;5,2;6,0
NL:S:43005710;Kennispark/UT;Enschede;119,0;114,3;45,2;32,4;23,9;23,8
NL:S:43006090;Voortmansweg;Enschede;5,4;5,6;2,3;1,6;1,0;0,9
NL:S:43006140;Driesprong;Lonneker;0,4;0,8;0,1;0,2;0,1;0,2
NL:S:43006160;Kotkampweg;Enschede;16,5;18,5;7,9;7,6;5,4;5,8
NL:S:43006980;Veldkampstraat;Enschede;0,2;0,7;0,0;0,2;0,0;0,1
NL:S:43007120;Getfertsingel;Enschede;0,3;0,1;0,2;0,0;0,1;0,1
NL:S:43007140;Stevenfennestraat;Enschede;25,7;19,8;11,9;9,9;7,2;7,0
NL:S:43007160;Dr. v.d. Zandestraat;Enschede;31,3;23,0;13,8;10,3;7,9;7,7
NL:S:43007180;Borgbos;Enschede;2,4;2,6;1,3;1,2;0,8;0,9
NL:S:43007200;Usseler Esch;Usselo;0,7;0,8;0,4;0,5;0,1;0,1
NL:S:43008030;Floraparkstraat;Enschede;3,2;4,6;1,4;1,9;0,5;0,9
NL:S:43008050;Onlandhorst;Enschede;2,0;1,7;0,8;0,9;1,5;0,2
NL:S:43008070;Wkc Stokhorst;Enschede;10,1;10,4;5,7;5,8;1,8;2,0
NL:S:43008090;Hoge Boekelerweg;Enschede;6,3;5,7;4,3;3,6;1,8;1,9
NL:S:43008110;Wkc 't Ribbelt;Enschede;6,1;4,4;2,7;1,4;1,9;1,3
NL:S:43008130;Dotterbloemstraat;Enschede;5,4;0,9;3,7;1,0;0,6;0,0
NL:S:43008200;Lindenhof;Enschede;41,9;41,0;24,7;24,8;10,2;10,6
NL:S:43008230;Marie de Roodelaan;Enschede;8,1;6,4;3,5;2,4;2,1;3,5
NL:S:43008390;Auke Vleerstraat;Enschede;1,1;1,8;0,0;0,0;0,0;0,0
NL:S:43008410;Usselerrondweg;Enschede;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:43010030;Winterweg;Enschede;13,1;12,6;5,5;5,2;2,1;2,6
NL:S:43010050;Dolphia;Enschede;27,7;29,2;11,8;12,2;5,8;7,0
NL:S:43010070;Esmarkelaan;Enschede;36,6;41,0;12,1;14,7;6,3;5,7
NL:S:43010110;Oikos;Glanerbrug;56,5;39,6;20,5;15,8;12,4;9,1
NL:S:43010140;Schoolstraat;Glanerbrug;33,9;22,5;17,3;10,8;6,8;3,7
NL:S:43010220;Tolstraat;Glanerbrug;16,6;20,3;8,7;11,0;3,8;5,9
NL:S:43010240;Symfoniestraat;Glanerbrug;28,1;28,7;8,8;10,2;4,8;5,6
NL:S:43010330;Ekersdijk;Glanerbrug;7,9;41,0;2,4;18,6;1,6;11,9
NL:S:43010350;Eilermarke;Glanerbrug;29,9;35,5;10,2;13,6;6,6;8,4
NL:S:43010370;Schipholtstraat;Glanerbrug;37,0;40,1;13,0;15,1;6,4;8,3
NL:S:43011120;Zwarteweg;Glanerbrug;27,5;4,5;15,2;1,7;5,6;0,7
NL:S:43021790;Boskamphoek;Enschede;14,8;14,7;7,9;7,9;3,5;3,7
NL:S:43021830;Beekwoudehoek;Enschede;27,3;25,6;11,2;11,9;7,8;8,5
NL:S:43021850;Honinglohoek;Enschede;43,0;36,8;20,8;19,2;11,7;11,6
NL:S:43021870;Wkc Helmerhoek;Enschede;45,5;45,5;20,2;19,2;10,4;11,4
NL:S:43021970;Graeshoek;Enschede;11,5;11,1;6,3;6,3;3,6;3,1
NL:S:43022000;Disselhoek;Enschede;13,0;12,5;4,0;4,6;2,8;2,1
NL:S:43022010;Dubbelinckhoek;Enschede;16,6;15,5;6,0;5,0;3,7;2,7
NL:S:43100070;Tinsteden;Enschede;4,7;6,5;0,0;0,0;0,0;0,0
NL:S:43100120;Ganzebosweg;Boekelo;0,0;0,2;0,0;0,0;0,0;0,0
NL:S:43100350;Windmolenweg/Centrum;Boekelo;1,3;1,7;0,5;0,8;0,0;0,0
NL:S:43100360;Smaragdstraat;Boekelo;0,2;0,5;0,1;0,3;0,0;0,0
NL:S:43100410;Marcellinuskerk;Boekelo;1,2;0,8;0,4;0,2;0,0;0,0
NL:S:43100600;De Blekerij;Boekelo;1,7;0,0;0,8;0,0;0,0;0,0
NL:S:43100780;Henry Dunantlaan;Boekelo;0,1;0,5;0,0;0,2;0,0;0,0
NL:S:43100800;Weleweg;Boekelo;0,1;0,7;0,0;0,3;0,0;0,0
NL:S:43100970;Marssteden;Enschede;8,3;7,6;0,0;0,0;0,0;0,0
NL:S:43101010;Kopersteden;Enschede;4,1;5,3;0,0;0,0;0,0;0,0
NL:S:43110010;Oude Grensweg;Hengelo;12,7;13,9;5,9;6,3;3,8;4,4
NL:S:43110070;De Broeierd;Enschede;66,9;67,3;48,6;32,6;22,0;58,4
NL:S:43110120;UT/Drienerbeeklaan;Enschede;8,6;19,6;5,7;21,3;4,4;14,4
NL:S:43110140;UT/Hoofdingang;Enschede;5,5;9,2;0,0;0,0;0,0;0,0
