STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:61120470;21.6;31.7;13.3;17.299999999999997;9.9;13.9;Gemeentehuis;Beuningen;182261.5;430532.0
NL:S:61120490;0.8;0.9;0.0;0.0;0.0;0.0;Beatrixplein;Beuningen;181582.5;430327.5
NL:S:61121300;3.4;2.9;0.0;0.0;0.0;0.0;Forelgracht;Beuningen;180908.5;429342.5
NL:S:61121320;5.3;4.1;0.0;0.0;0.0;0.0;Snoekgracht;Beuningen;180998.0;429084.5
NL:S:61121340;4.5;3.7;0.0;0.0;0.0;0.0;Ganzeneiland;Beuningen;181432.5;428951.0
NL:S:61121360;4.0;3.7;0.0;0.0;0.0;0.0;Wolfsbossingel;Beuningen;181783.5;429168.5
NL:S:61190030;0.3;0.4;0.2;0.2;0.1;0.1;Het Nevelveld;Doornik;188897.0;432545.5
NL:S:61190051;1.9;2.2;1.0;1.0;0.8;0.8;Zandsepad;Doornik;188731.0;432084.5
NL:S:61190070;1.5;1.3;0.7;0.7;0.8;0.7;Doornik;Doornik;188852.5;431672.0
NL:S:61190090;1.6;1.6;1.1;1.6;0.9;0.7;Bekkersland;Doornik;188892.0;431256.0
NL:S:61190110;0.8;3.7;0.8;3.1;0.2;1.0;Laauwikstraat;Lent;188521.0;430908.5
NL:S:61190130;10.0;9.3;8.0;7.0;3.9;5.5;Petuniastraat;Lent;188238.5;430853.5
NL:S:61190150;18.7;12.6;11.8;8.0;6.5;4.3;Lentseveld;Lent;187947.5;430666.0
NL:S:61190190;14.3;14.0;2.6;2.2;1.8;1.6;Citadel College;Lent;187324.5;430846.0
NL:S:61190230;64.4;82.6;47.1;56.4;27.5;35.5;Station Lent Laauwikstraat;Lent;187777.5;430490.5
NL:S:61190250;9.6;5.4;6.8;3.5;4.8;3.7;Eikenlaan;Lent;188471.0;430999.5
NL:S:61190270;14.7;12.6;10.3;7.7;7.3;6.3;Station Lent;Lent;187686.5;430599.0
NL:S:61190300;44.9;51.9;18.0;20.5;9.5;10.6;Stationsstraat;Lent;186240.5;433326.5
NL:S:61190350;40.0;39.1;22.6;24.2;18.8;18.6;Oude Groenestraat;Oosterhout;186553.8;432792.5
NL:S:61190370;5.9;6.4;3.4;5.4;1.8;1.8;Turennesingel;Lent;188332.0;430387.5
NL:S:61190390;28.3;26.7;14.8;13.9;6.2;6.9;Dijkstraat;Lent;187215.5;431221.0
NL:S:61190410;7.6;7.1;4.5;4.4;1.9;2.2;Kruidenstraat;Oosterhout;186276.0;432664.5
NL:S:61190470;58.4;62.3;37.8;40.0;29.4;29.6;Terracottastraat;Oosterhout;186841.0;432335.0
NL:S:61190490;1.1;1.3;1.1;1.2;0.6;0.6;Van Boetzelaerstraat;Oosterhout;185790.0;432025.0
NL:S:61190710;59.1;55.1;34.6;31.9;15.5;18.8;Jonagoldstraat;Oosterhout;186003.5;432360.0
NL:S:61190750;37.1;33.5;21.0;20.5;9.0;12.6;De Klif;Oosterhout;186518.5;432062.5
NL:S:61190790;26.6;27.8;17.0;16.4;7.3;10.3;Aquilastraat;Oosterhout;186838.0;431875.0
NL:S:61191390;51.1;46.8;37.0;32.4;20.3;18.8;Frankrijkstraat;Lent;187866.0;431319.0
NL:S:61191410;44.2;47.1;24.1;27.8;14.0;18.6;De Ster;Lent;188135.0;431380.5
NL:S:61191490;0.2;11.1;0.4;8.3;0.1;6.0;Dalidastraat;Lent;187681.0;431810.0
NL:S:61191510;0.1;11.1;0.0;5.2;0.0;3.2;Thermion (West);Lent;187564.0;431571.0
NL:S:61191520;30.5;4.3;17.2;2.2;10.1;0.9;Thermion (Oost);Lent;187684.0;431606.0
NL:S:61191550;18.6;16.6;12.3;10.7;6.6;7.6;Fluitenkruid;Lent;188436.0;431314.5
NL:S:61191590;1.2;3.1;0.5;1.5;0.4;1.1;Veur Lent;Lent;188137.0;429932.5
NL:S:61191600;5.1;4.8;4.4;5.5;2.5;2.5;Duitslandstraat;Lent;188739.0;430930.0
