;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
4241;NL:S:60250330;3.9;3.9;1.7;1.8;1.1;1.2;Huurlingsedam;Alverna;180075.5;422708.5
4242;NL:S:60290010;0.3;0.8;0.5;0.7;0.3;0.5;Duffeltdijk;Leuth;195783.5;427972.5
4243;NL:S:60290020;1.7;0.7;0.8;0.3;0.5;0.2;Industrieterrein;Leuth;197200.5;428411.0
4244;NL:S:60290030;5.5;6.7;4.7;5.2;2.8;2.9;De Hoge Kamp;Leuth;196314.5;427894.0
4245;NL:S:60290040;10.7;9.2;7.0;6.9;4.4;4.4;Morgenstraat;Leuth;197045.0;427961.5
4246;NL:S:60290050;5.5;8.0;3.5;4.7;2.8;3.8;Klaproosstraat;Leuth;196541.5;427875.5
4247;NL:S:60290060;26.8;25.6;11.5;11.5;6.8;6.4;Kerkplein;Leuth;196799.0;427865.5
4248;NL:S:60290140;0.2;0.3;0.3;0.4;0.1;0.1;Biesterveld;Leuth;197635.0;429017.0
4249;NL:S:60290170;0.1;0.1;0.1;0.0;0.1;0.0;Molen;Kekerdom;198062.5;429587.5
4250;NL:S:60290190;0.4;1.3;0.3;0.8;0.2;0.8;Eversberg;Kekerdom;198567.0;430209.5
4251;NL:S:60290230;12.8;12.3;8.1;8.5;5.2;5.6;Weverstraat;Kekerdom;198479.5;430548.0
4252;NL:S:60300030;6.1;6.7;4.5;7.0;5.3;6.6;Rijksweg/Witteweg;Plasmolen;191957.0;416742.0
4253;NL:S:60300110;3.2;2.8;1.2;1.2;1.3;1.3;Helweg;Milsbeek;192782.5;416173.5
4254;NL:S:60300130;0.9;1.0;0.2;0.4;0.6;0.4;Milsbeek Zuid;Milsbeek;194155.0;414701.0
4255;NL:S:60300140;3.5;3.6;1.6;1.7;1.6;2.3;Oudebaan;Milsbeek;193465.5;415442.5
4256;NL:S:60300160;7.9;5.9;3.2;3.2;4.0;3.8;Rijksweg/Kerkstraat;Milsbeek;193756.5;415130.0
4257;NL:S:60350010;88.8;83.1;35.7;36.1;25.5;20.6;Busstation;Grave;178984.5;419155.0
4258;NL:S:60350020;3.8;5.1;2.0;1.8;0.9;1.1;Binckhof;Velp;177705.0;417447.0
4259;NL:S:60350030;14.5;15.4;4.9;6.5;3.3;4.2;Stoofweg;Grave;179006.0;418449.7
4260;NL:S:60350040;14.4;10.3;8.0;6.8;4.6;6.6;Generaal de Bonsweg;Grave;178692.5;417917.0
4261;NL:S:60390040;29.7;26.0;14.2;13.3;8.6;8.1;Rembrandtstraat;Millingen;201015.5;430394.0
4262;NL:S:60390060;13.9;16.1;10.5;9.8;4.8;5.8;Sportpark;Millingen;200683.5;430465.0
4263;NL:S:60390080;82.6;82.9;43.0;45.1;25.5;24.9;Gemeentehuis;Millingen;200467.0;430763.5
4264;NL:S:60390090;9.5;13.5;6.0;7.5;3.3;4.0;Molenveld;Millingen;199601.0;431196.0
4265;NL:S:60390110;38.0;39.9;15.2;18.9;10.1;10.2;Gezondheidscentrum;Millingen;200115.5;431107.5
4266;NL:S:60390210;14.5;10.4;8.1;5.2;4.7;2.1;Grenskantoor;Millingen;201320.0;430394.0
4267;NL:S:60400100;1.4;1.0;0.3;0.1;0.2;0.2;Drie Kronen;Ottersum;194570.5;414268.5
4268;NL:S:60450500;0.4;5.2;0.3;2.3;0.1;1.2;Mgr. Borretstraat;Reek;175386.0;416670.2
4269;NL:S:60500010;22.0;19.3;9.5;9.6;12.3;13.3;Busstation;Gennep;195570.5;411897.5
4270;NL:S:60500210;0.6;0.2;0.4;0.3;0.1;0.0;Heijenseweg;Gennep;195520.0;411517.0
4271;NL:S:60500250;4.9;4.0;4.3;3.7;4.0;4.4;Niersbrug;Gennep;195321.5;412822.0
4272;NL:S:60500270;1.0;0.7;0.3;0.5;0.1;0.0;Stiemensweg;Gennep;195620.5;411030.5
4273;NL:S:60500290;8.0;7.5;5.0;4.1;4.8;3.9;Wilhelminaplein;Gennep;195452.5;412170.5
4274;NL:S:60500310;3.7;4.6;3.3;4.2;3.0;3.4;Zuid-Oostwal;Gennep;195409.5;412532.0
4275;NL:S:60500330;1.3;0.8;0.0;0.1;0.0;0.0;De Groote Heeze;Heijen;195618.0;410635.5
4276;NL:S:60500350;1.1;1.0;0.5;0.5;0.0;0.1;Heesweg;Heijen;195747.5;409834.5
4277;NL:S:60500370;1.5;1.3;0.4;0.3;0.0;0.1;Heijen Zuid;Heijen;196036.5;409128.0
4278;NL:S:60500390;2.2;1.5;0.5;0.5;0.0;0.1;Nieuwwijkstraat;Heijen;195821.0;409622.5
4279;NL:S:60500430;13.4;11.3;4.2;5.0;4.7;5.1;Ottersumseweg;Ottersum;195470.5;413152.0
4280;NL:S:60550170;7.4;3.9;3.2;1.7;2.7;1.8;Voederheil;Zeeland;174440.0;413303.0
4281;NL:S:60550190;9.3;10.7;2.9;3.3;2.8;2.2;Tweehekkenweg;Zeeland;174286.0;411932.0
4282;NL:S:60600100;2.0;1.2;0.3;0.3;0.0;0.2;Gening;Afferden;198492.0;404832.5
4283;NL:S:60600120;0.4;0.5;0.2;0.1;0.0;0.0;Hengeland;Afferden;197407.0;406195.5
4284;NL:S:60600140;0.1;0.2;0.2;0.0;0.0;0.1;Heukelom;Afferden;199375.5;403932.0
4285;NL:S:60600160;2.0;1.4;0.4;0.4;0.0;0.2;Veer naar Sambeek;Afferden;197768.5;405322.0
4286;NL:S:60600200;0.6;0.6;0.2;0.3;0.0;0.0;Heijense Molen;Heijen;196861.5;407395.0
4287;NL:S:60650250;7.3;8.0;2.4;2.9;2.0;1.6;Wijsthoek;Uden;171820.0;408754.0
4288;NL:S:60650400;34.9;38.0;14.0;21.7;14.1;11.1;Busstation;Uden;170987.0;407994.0
4289;NL:S:60651160;2.0;1.8;0.6;0.9;0.4;0.5;Hoevenseweg;Uden;172269.5;409391.5
4290;NL:S:60700100;0.7;0.4;0.1;0.0;0.0;0.0;Aijerdijk;Aijen;201798.0;400218.5
4291;NL:S:60700160;1.9;1.1;0.3;0.2;0.0;0.2;Bergse Heide;Nieuw Bergen;201217.0;401034.5
4292;NL:S:60700180;0.7;0.4;0.2;0.0;0.0;0.0;De Flammert;Nieuw Bergen;199936.5;402645.0
4293;NL:S:60700200;7.6;5.4;1.3;1.5;0.3;0.8;Gemeentehuis;Nieuw Bergen;200811.5;401712.0
4294;NL:S:61120010;52.9;53.300000000000004;34.1;34.4;19.6;22.6;Kerkstraat;Weurt;184540.0;429922.5
4295;NL:S:61120020;9.399999999999999;11.9;7.2;7.6;4.0;4.9;Hommelstraat;Beuningen;181148.0;431031.5
4296;NL:S:61120040;41.8;45.7;25.799999999999997;29.5;16.2;19.3;Kerk;Beuningen;181601.0;430705.0
4297;NL:S:61120050;8.7;9.4;5.0;6.0;2.8;3.1999999999999997;Distelakkerstraat;Beuningen;182868.0;430415.0
4298;NL:S:61120110;16.9;20.4;12.4;14.6;6.3;8.6;Pottenbakker;Beuningen;180766.5;430143.5
4299;NL:S:61120120;9.7;10.1;5.1;6.0;3.5;3.1;Haagstraat;Beuningen;182146.0;430289.5
4300;NL:S:61120130;54.7;42.4;32.0;25.3;17.6;14.6;Sporthal de Tinnegieter;Beuningen;181137.0;430103.0
4301;NL:S:61120150;89.2;91.7;67.6;70.9;29.2;28.2;Centrum;Beuningen;181410.5;430155.5
4302;NL:S:61120230;53.4;44.7;35.8;30.8;22.0;21.4;Schacht;Beuningen;180683.0;430326.0
4303;NL:S:61120250;67.0;58.2;31.6;29.7;16.0;16.2;Aalsterveld;Beuningen;180370.5;430615.5
4304;NL:S:61120270;26.6;37.1;11.0;14.0;4.2;5.6;Wilgenoord;Beuningen;180136.5;429797.0
4305;NL:S:61120290;5.1;7.0;3.3;5.0;2.0;3.5;Hadrianussingel;Beuningen;180282.0;429413.5
4306;NL:S:61120310;11.7;11.9;12.4;9.2;9.4;6.4;Tiberiuslaan;Beuningen;180727.0;429511.5
4307;NL:S:61120370;22.5;28.0;17.1;20.0;10.8;12.2;Lavendelstraat;Beuningen;181879.0;430035.0
4308;NL:S:61120470;20.099999999999998;27.4;13.2;14.6;8.4;10.8;Gemeentehuis;Beuningen;182261.5;430532.0
4309;NL:S:61120490;0.5;0.4;0.0;0.0;0.0;0.0;Beatrixplein;Beuningen;181582.5;430327.5
4310;NL:S:61121300;2.5;2.3;0.0;0.0;0.0;0.0;Forelgracht;Beuningen;180908.5;429342.5
