stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43000250;NL:Q:43000250;Roombeek;Enschede;Lonnekerspoorlaan;258023;472601;2019;62;287.0;33.0;12.0;708.0;63.0;32.0
NL:S:43000250;NL:Q:43000260;Roombeek;Enschede;Lonnekerspoorlaan;257972;472528;2019;2;1589.0;127.0;36.0;126.0;10.0;5.0
NL:S:43000250;NL:Q:43000260;Roombeek;Enschede;Lonnekerspoorlaan;257972;472528;2019;60;437.0;0.0;0.0;172.0;0.0;0.0
NL:S:43000250;NL:Q:43000260;Roombeek;Enschede;Lonnekerspoorlaan;257972;472528;2019;61;1094.0;43.0;16.0;253.0;15.0;7.0
NL:S:43000250;NL:Q:43000260;Roombeek;Enschede;Lonnekerspoorlaan;257972;472528;2019;62;864.0;60.0;32.0;366.0;19.0;6.0
NL:S:43000650;NL:Q:43000650;Wkc Twekkelerveld;Enschede;Maanstraat;255447;472288;2019;1;799.0;162.0;69.0;1944.0;261.0;119.0
NL:S:43000650;NL:Q:43000660;Wkc Twekkelerveld;Enschede;Maanstraat;255474;472302;2019;1;1930.0;278.0;103.0;585.0;123.0;76.0
NL:S:43002610;NL:Q:43002610;Brinkstraat;Enschede;Brinkstraat;258786;470363;2019;505;93.0;6.0;0.0;59.0;7.0;0.0
NL:S:43003530;NL:Q:43003530;Tiemeister;Enschede;Knalhutteweg;258016;469341;2019;4;81.0;1.0;3.0;1418.0;34.0;11.0
NL:S:43003530;NL:Q:43003540;Tiemeister;Enschede;Kuipersdijk;258072;469435;2019;4;1525.0;25.0;6.0;73.0;5.0;2.0
NL:S:43100360;NL:Q:43100360;Smaragdstraat;Boekelo;Beckumerstraat;251116;469374;2019;506;0.0;0.0;0.0;23.0;2.0;0.0
NL:S:43100360;NL:Q:43100370;Smaragdstraat;Boekelo;Beckumerstraat;251191;469365;2019;506;6.0;0.0;0.0;0.0;0.0;0.0
NL:S:43006140;NL:Q:43006140;Driesprong;Lonneker;Lossersestraat;259632;473752;2019;61;12.0;5.0;0.0;15.0;1.0;1.0
NL:S:43006140;NL:Q:43170010;Driesprong;Lonneker;Lossersestraat;259707;473845;2019;61;5.0;1.0;1.0;32.0;0.0;3.0
NL:S:43021970;NL:Q:43021970;Graeshoek;Enschede;Boswinkelbeekweg;255364;468564;2019;2;10.0;2.0;0.0;589.0;94.0;28.0
NL:S:43021970;NL:Q:43021970;Graeshoek;Enschede;Boswinkelbeekweg;255364;468564;2019;8;57.0;0.0;0.0;0.0;0.0;0.0
NL:S:43021970;NL:Q:43021980;Graeshoek;Enschede;Boswinkelbeekweg;255354;468558;2019;2;634.0;91.0;27.0;0.0;0.0;0.0
NL:S:43021970;NL:Q:43021980;Graeshoek;Enschede;Boswinkelbeekweg;255354;468558;2019;8;7.0;0.0;0.0;20.0;0.0;0.0
NL:S:43001830;NL:Q:43001830;Rabobank;Enschede;Zuiderval;257677;470132;2019;1;122.0;10.0;1.0;538.0;62.0;12.0
NL:S:43001830;NL:Q:43001830;Rabobank;Enschede;Zuiderval;257677;470132;2019;2;171.0;10.0;6.0;395.0;20.0;9.0
NL:S:43001830;NL:Q:43001830;Rabobank;Enschede;Zuiderval;257677;470132;2019;8;5.0;0.0;0.0;25.0;0.0;0.0
NL:S:43001830;NL:Q:43001840;Rabobank;Enschede;Zuiderval;257673;470229;2019;1;369.0;45.0;7.0;211.0;17.0;11.0
